Accession;Peptides;Score;Anova (p)*;Fold;Fractions;Description;A14D;A14R
NDKA_HUMAN;16 (7);733.12;0.84;1.64;123;Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1;3.86e+005;2.35e+005
RUVB1_HUMAN;5 (5);174.65;0.84;1.44;123;RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1;4528.73;3138.46
LTBP2_HUMAN;17 (17);852.03;0.84;1.10;123;Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2 PE=1 SV=3;1.76e+005;1.60e+005
ANGP1_HUMAN;10 (10);446.41;0.84;1.09;123;Angiopoietin-1 OS=Homo sapiens GN=ANGPT1 PE=1 SV=2;2.23e+004;2.05e+004
PCSK5_HUMAN;5 (5);267.47;0.84;1.06;123;Proprotein convertase subtilisin/kexin type 5 OS=Homo sapiens GN=PCSK5 PE=1 SV=4;1.20e+004;1.28e+004
TFPI1_HUMAN;3 (3);121.26;0.84;1.03;123;Tissue factor pathway inhibitor OS=Homo sapiens GN=TFPI PE=1 SV=1;1.19e+004;1.16e+004
VMO1_HUMAN;4 (4);281.92;0.84;1.02;123;Vitelline membrane outer layer protein 1 homolog OS=Homo sapiens GN=VMO1 PE=1 SV=1;4.99e+004;5.11e+004
PDLI1_HUMAN;6 (6);314.15;0.84;1.00;123;PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4;2.30e+004;2.30e+004
FBLN2_HUMAN;1 (1);45.24;0.84;1.00;123;Fibulin-2 OS=Homo sapiens GN=FBLN2 PE=1 SV=2;2398.99;2408.56
PLOD3_HUMAN;1 (1);49.72;0.83;1.25;123;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 OS=Homo sapiens GN=PLOD3 PE=1 SV=1;3734.07;4675.90
UBA1_HUMAN;7 (7);286.22;0.83;1.08;123;Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3;4283.25;4613.71
CBPQ_HUMAN;6 (6);392.43;0.83;1.01;123;Carboxypeptidase Q OS=Homo sapiens GN=CPQ PE=1 SV=1;1.49e+004;1.49e+004
IF4A1_HUMAN;2 (2);117.13;0.82;1.71;123;Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1;1.07e+004;6294.44
RB11B_HUMAN;3 (3);137.90;0.82;1.45;123;Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4;3583.48;2468.54
CPSF5_HUMAN;5 (5);177.34;0.82;1.15;123;Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1;1.31e+004;1.14e+004
AN32B_HUMAN;2 (1);72.91;0.82;1.14;123;Acidic leucine-rich nuclear phosphoprotein 32 family member B OS=Homo sapiens GN=ANP32B PE=1 SV=1;1.32e+004;1.16e+004
STML2_HUMAN;1 (1);21.61;0.82;1.09;123;Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1;1.11e+005;1.02e+005
RS3_HUMAN;5 (5);186.44;0.81;1.81;123;40S ribosomal protein S3 OS=Homo sapiens GN=RPS3 PE=1 SV=2;1.41e+004;7790.07
CD2A1_HUMAN;1 (1);26.45;0.81;1.26;123;Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3 OS=Homo sapiens GN=CDKN2A PE=1 SV=2;2.26e+004;1.79e+004
K2C5_HUMAN;10 (6);508.25;0.81;1.24;123;Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3;1.68e+004;1.36e+004
XPO1_HUMAN;1 (1);22.52;0.81;1.24;123;Exportin-1 OS=Homo sapiens GN=XPO1 PE=1 SV=1;1.52e+005;1.23e+005
SRPX2_HUMAN;6 (6);274.86;0.81;1.14;123;Sushi repeat-containing protein SRPX2 OS=Homo sapiens GN=SRPX2 PE=1 SV=1;2.23e+004;1.95e+004
K2C1B_HUMAN;4 (1);265.85;0.81;1.09;123;Keratin, type II cytoskeletal 1b OS=Homo sapiens GN=KRT77 PE=2 SV=3;3.54e+004;3.25e+004
VPS35_HUMAN;7 (7);232.74;0.81;1.09;123;Vacuolar protein sorting-associated protein 35 OS=Homo sapiens GN=VPS35 PE=1 SV=2;3067.56;3346.85
ROA2_HUMAN;9 (8);419.24;0.81;1.06;123;Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens GN=HNRNPA2B1 PE=1 SV=2;1.27e+005;1.19e+005
HDHD2_HUMAN;1 (1);38.31;0.81;1.04;123;Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Homo sapiens GN=HDHD2 PE=1 SV=1;4496.09;4665.93
RL13_HUMAN;1 (1);35.23;0.80;1.51;123;60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4;1607.64;1061.67
PGCA_HUMAN;1 (1);50.95;0.80;1.34;123;Aggrecan core protein OS=Homo sapiens GN=ACAN PE=1 SV=2;2031.22;1513.38
NEUS_HUMAN;2 (2);87.84;0.80;1.11;123;Neuroserpin OS=Homo sapiens GN=SERPINI1 PE=1 SV=1;2957.04;2673.70
PDGFD_HUMAN;4 (4);171.06;0.80;1.05;123;Platelet-derived growth factor D OS=Homo sapiens GN=PDGFD PE=1 SV=1;5044.41;5282.67
DEST_HUMAN;11 (11);429.85;0.80;1.00;123;Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3;1.05e+005;1.06e+005
CG043_HUMAN;1 (1);30.71;0.79;1.28;123;Uncharacterized protein C7orf43 OS=Homo sapiens GN=C7orf43 PE=1 SV=2;7532.27;5894.27
CENPN_HUMAN;2 (2);42.29;0.79;1.23;123;Centromere protein N OS=Homo sapiens GN=CENPN PE=1 SV=2;1478.93;1826.11
SULF2_HUMAN;2 (2);96.83;0.79;1.08;123;Extracellular sulfatase Sulf-2 OS=Homo sapiens GN=SULF2 PE=1 SV=1;844.49;911.41
TERA_HUMAN;8 (8);368.88;0.79;1.06;123;Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4;8531.32;8076.38
RYR2_HUMAN;1 (1);15.14;0.79;1.01;123;Ryanodine receptor 2 OS=Homo sapiens GN=RYR2 PE=1 SV=3;1.70e+005;1.71e+005
FNBP1_HUMAN;1 (1);27.98;0.78;22.11;123;Formin-binding protein 1 OS=Homo sapiens GN=FNBP1 PE=1 SV=2;1056.78;47.80
SMOC1_HUMAN;11 (11);541.94;0.78;1.64;123;SPARC-related modular calcium-binding protein 1 OS=Homo sapiens GN=SMOC1 PE=1 SV=1;5.94e+004;3.62e+004
CA177_HUMAN;1 (1);20.66;0.78;1.64;123;Uncharacterized protein C1orf177 OS=Homo sapiens GN=C1orf177 PE=2 SV=3;2.63e+004;1.60e+004
ELOB_HUMAN;1 (1);28.05;0.78;1.21;123;Transcription elongation factor B polypeptide 2 OS=Homo sapiens GN=TCEB2 PE=1 SV=1;7138.97;5891.67
AMD_HUMAN;15 (15);564.33;0.78;1.06;123;Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM PE=1 SV=2;1.14e+005;1.20e+005
B3GN1_HUMAN;6 (6);248.91;0.78;1.06;123;N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase OS=Homo sapiens GN=B3GNT1 PE=1 SV=1;1.77e+004;1.88e+004
SMD3_HUMAN;4 (4);163.95;0.78;1.02;123;Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1;1.98e+004;1.94e+004
P20L1_HUMAN;1 (1);23.34;0.77;1.46;123;PHD finger protein 20-like protein 1 OS=Homo sapiens GN=PHF20L1 PE=1 SV=2;1525.23;1042.63
TCPE_HUMAN;3 (3);92.31;0.77;1.29;123;T-complex protein 1 subunit epsilon OS=Homo sapiens GN=CCT5 PE=1 SV=1;1178.86;1523.48
BCAP_HUMAN;1 (1);32.43;0.77;1.25;123;Phosphoinositide 3-kinase adapter protein 1 OS=Homo sapiens GN=PIK3AP1 PE=1 SV=2;1.07e+004;8616.60
TBB4B_HUMAN;9 (1);413.25;0.77;1.12;123;Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1;3279.38;3674.45
DUT_HUMAN;1 (1);37.10;0.77;1.07;123;Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4;1134.30;1216.21
LTOR4_HUMAN;1 (1);53.22;0.76;2.50;123;Ragulator complex protein LAMTOR4 OS=Homo sapiens GN=LAMTOR4 PE=1 SV=1;7520.60;3009.48
GBG12_HUMAN;1 (1);43.43;0.76;1.62;123;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens GN=GNG12 PE=1 SV=3;1.60e+004;9833.11
HEAT6_HUMAN;1 (1);23.81;0.76;1.11;123;HEAT repeat-containing protein 6 OS=Homo sapiens GN=HEATR6 PE=1 SV=1;4397.49;4859.69
ANXA2_HUMAN;21 (21);1295.77;0.76;1.03;123;Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2;1.04e+005;1.00e+005
CHSP1_HUMAN;2 (2);53.58;0.76;1.03;123;Calcium-regulated heat stable protein 1 OS=Homo sapiens GN=CARHSP1 PE=1 SV=2;6328.16;6534.61
RECK_HUMAN;2 (2);91.38;0.76;1.01;123;Reversion-inducing cysteine-rich protein with Kazal motifs OS=Homo sapiens GN=RECK PE=1 SV=1;1738.59;1755.85
MAST4_HUMAN;1 (1);21.30;0.75;1.95;123;Microtubule-associated serine/threonine-protein kinase 4 OS=Homo sapiens GN=MAST4 PE=1 SV=3;1334.66;682.98
LGR5_HUMAN;1 (1);19.65;0.75;1.82;123;Leucine-rich repeat-containing G-protein coupled receptor 5 OS=Homo sapiens GN=LGR5 PE=1 SV=1;6733.57;3706.71
PP1R7_HUMAN;1 (1);43.92;0.75;1.22;123;Protein phosphatase 1 regulatory subunit 7 OS=Homo sapiens GN=PPP1R7 PE=1 SV=1;2179.51;1783.28
SAA1_HUMAN;2 (1);96.50;0.75;1.21;123;Serum amyloid A-1 protein OS=Homo sapiens GN=SAA1 PE=1 SV=1;1.22e+004;1.01e+004
RED_HUMAN;1 (1);20.06;0.75;1.09;123;Protein Red OS=Homo sapiens GN=IK PE=1 SV=3;8.44e+004;7.71e+004
OXR1_HUMAN;1 (1);26.68;0.75;1.07;123;Oxidation resistance protein 1 OS=Homo sapiens GN=OXR1 PE=1 SV=2;1339.96;1248.64
NDUA7_HUMAN;1 (1);19.47;0.75;1.07;123;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens GN=NDUFA7 PE=1 SV=3;1142.86;1067.13
ATL4_HUMAN;1 (1);27.41;0.75;1.06;123;ADAMTS-like protein 4 OS=Homo sapiens GN=ADAMTSL4 PE=1 SV=2;713.48;671.15
TXD17_HUMAN;2 (2);54.83;0.74;1.95;123;Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1;4.55e+004;2.33e+004
TICRR_HUMAN;2 (2);49.70;0.74;1.65;123;Treslin OS=Homo sapiens GN=TICRR PE=1 SV=2;9.04e+004;5.47e+004
ZN407_HUMAN;1 (1);25.06;0.74;1.54;123;Zinc finger protein 407 OS=Homo sapiens GN=ZNF407 PE=1 SV=2;3.37e+005;2.18e+005
TPPC3_HUMAN;1 (1);43.84;0.74;1.50;123;Trafficking protein particle complex subunit 3 OS=Homo sapiens GN=TRAPPC3 PE=1 SV=1;3358.26;2244.31
FLII_HUMAN;2 (1);43.18;0.74;1.26;123;Protein flightless-1 homolog OS=Homo sapiens GN=FLII PE=1 SV=2;8.25e+004;6.56e+004
IBP6_HUMAN;2 (2);86.96;0.74;1.13;123;Insulin-like growth factor-binding protein 6 OS=Homo sapiens GN=IGFBP6 PE=1 SV=1;1.19e+004;1.05e+004
LOXL1_HUMAN;14 (14);541.31;0.74;1.07;123;Lysyl oxidase homolog 1 OS=Homo sapiens GN=LOXL1 PE=1 SV=2;5.52e+004;5.89e+004
CFAH_HUMAN;40 (40);2066.08;0.74;1.05;123;Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4;1.86e+005;1.95e+005
SODE_HUMAN;3 (3);157.14;0.74;1.02;123;Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD3 PE=1 SV=2;1.26e+004;1.24e+004
RS27A_HUMAN;3 (3);144.16;0.73;1.34;123;Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2;2.16e+005;1.61e+005
CRK_HUMAN;6 (6);236.49;0.73;1.31;123;Adapter molecule crk OS=Homo sapiens GN=CRK PE=1 SV=2;4.43e+004;3.39e+004
SCNBA_HUMAN;2 (2);48.68;0.73;1.24;123;Sodium channel protein type 11 subunit alpha OS=Homo sapiens GN=SCN11A PE=1 SV=2;1.84e+005;2.28e+005
S1PR3_HUMAN;1 (1);37.05;0.73;1.22;123;Sphingosine 1-phosphate receptor 3 OS=Homo sapiens GN=S1PR3 PE=1 SV=2;1710.34;1398.69
CTGF_HUMAN;8 (8);459.61;0.73;1.21;123;Connective tissue growth factor OS=Homo sapiens GN=CTGF PE=1 SV=2;6.46e+005;5.36e+005
DBLOH_HUMAN;5 (5);274.01;0.73;1.20;123;Diablo homolog, mitochondrial OS=Homo sapiens GN=DIABLO PE=1 SV=1;1.05e+004;8743.02
COEA1_HUMAN;2 (2);47.39;0.73;1.13;123;Collagen alpha-1(XIV) chain OS=Homo sapiens GN=COL14A1 PE=1 SV=3;1.05e+004;1.18e+004
RS23_HUMAN;1 (1);64.22;0.73;1.10;123;40S ribosomal protein S23 OS=Homo sapiens GN=RPS23 PE=1 SV=3;5084.40;4631.24
PRD16_HUMAN;2 (2);42.32;0.73;1.09;123;PR domain zinc finger protein 16 OS=Homo sapiens GN=PRDM16 PE=1 SV=3;1.30e+004;1.41e+004
ACTB_HUMAN;23 (2);1832.60;0.72;1.67;123;Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1;1.53e+005;9.16e+004
DMD_HUMAN;2 (2);45.96;0.72;1.44;123;Dystrophin OS=Homo sapiens GN=DMD PE=1 SV=3;2.39e+004;3.43e+004
PLST_HUMAN;18 (17);804.69;0.72;1.13;123;Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4;1.59e+004;1.80e+004
CLCA_HUMAN;2 (2);53.09;0.72;1.08;123;Clathrin light chain A OS=Homo sapiens GN=CLTA PE=1 SV=1;3516.93;3798.61
PRDBP_HUMAN;1 (1);23.33;0.72;1.08;123;Protein kinase C delta-binding protein OS=Homo sapiens GN=PRKCDBP PE=1 SV=3;9254.37;8580.96
CILP2_HUMAN;4 (4);131.76;0.72;1.03;123;Cartilage intermediate layer protein 2 OS=Homo sapiens GN=CILP2 PE=2 SV=2;1.39e+004;1.35e+004
KAT2A_HUMAN;1 (1);19.54;0.71;1.82;123;Histone acetyltransferase KAT2A OS=Homo sapiens GN=KAT2A PE=1 SV=3;841.13;1527.18
K1C17_HUMAN;6 (2);312.23;0.71;1.25;123;Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2;1126.22;1410.64
6PGD_HUMAN;10 (10);646.01;0.71;1.17;123;6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens GN=PGD PE=1 SV=3;3.37e+004;3.95e+004
HELZ_HUMAN;1 (1);22.37;0.71;1.11;123;Probable helicase with zinc finger domain OS=Homo sapiens GN=HELZ PE=1 SV=2;2453.26;2209.76
CO5A2_HUMAN;43 (43);2453.53;0.71;1.04;123;Collagen alpha-2(V) chain OS=Homo sapiens GN=COL5A2 PE=1 SV=3;3.36e+005;3.50e+005
RUXE_HUMAN;2 (2);69.69;0.70;2.23;123;Small nuclear ribonucleoprotein E OS=Homo sapiens GN=SNRPE PE=1 SV=1;1.00e+004;4498.28
ZPR1_HUMAN;1 (1);21.19;0.70;11.09;123;Zinc finger protein ZPR1 OS=Homo sapiens GN=ZPR1 PE=1 SV=1;35.65;395.33
ASPM_HUMAN;2 (1);27.52;0.70;1.90;123;Abnormal spindle-like microcephaly-associated protein OS=Homo sapiens GN=ASPM PE=1 SV=2;1516.28;796.19
ACTG_HUMAN;24 (10);1958.07;0.70;1.76;123;Actin, cytoplasmic 2 OS=Homo sapiens GN=ACTG1 PE=1 SV=1;6.46e+005;3.67e+005
ITM2B_HUMAN;4 (4);173.76;0.70;1.34;123;Integral membrane protein 2B OS=Homo sapiens GN=ITM2B PE=1 SV=1;1.05e+004;7830.19
UCHL1_HUMAN;7 (7);252.90;0.70;1.12;123;Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1 PE=1 SV=2;4.01e+004;3.59e+004
S10AG_HUMAN;1 (1);57.03;0.70;1.07;123;Protein S100-A16 OS=Homo sapiens GN=S100A16 PE=1 SV=1;1523.43;1629.10
SPRL1_HUMAN;11 (11);593.83;0.69;1.52;123;SPARC-like protein 1 OS=Homo sapiens GN=SPARCL1 PE=1 SV=2;5.46e+004;3.58e+004
CH60_HUMAN;4 (4);116.39;0.69;1.20;123;60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2;4645.39;3861.85
PDLI2_HUMAN;1 (1);58.66;0.69;1.08;123;PDZ and LIM domain protein 2 OS=Homo sapiens GN=PDLIM2 PE=1 SV=1;1.14e+004;1.05e+004
PEX19_HUMAN;1 (1);15.94;0.69;1.08;123;Peroxisomal biogenesis factor 19 OS=Homo sapiens GN=PEX19 PE=1 SV=1;2.32e+005;2.51e+005
FABP4_HUMAN;10 (10);776.86;0.68;3.71;123;Fatty acid-binding protein, adipocyte OS=Homo sapiens GN=FABP4 PE=1 SV=3;6.52e+005;1.76e+005
PROK1_HUMAN;1 (1);21.87;0.68;1.83;123;Prokineticin-1 OS=Homo sapiens GN=PROK1 PE=1 SV=1;1.89e+006;1.03e+006
ARPC5_HUMAN;4 (4);148.41;0.68;1.75;123;Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens GN=ARPC5 PE=1 SV=3;4.65e+004;2.66e+004
RL23_HUMAN;1 (1);22.03;0.68;1.23;123;60S ribosomal protein L23 OS=Homo sapiens GN=RPL23 PE=1 SV=1;2433.48;1973.22
CHID1_HUMAN;3 (3);153.27;0.68;1.19;123;Chitinase domain-containing protein 1 OS=Homo sapiens GN=CHID1 PE=1 SV=1;5912.70;7041.68
TWSG1_HUMAN;1 (1);16.78;0.68;1.15;123;Twisted gastrulation protein homolog 1 OS=Homo sapiens GN=TWSG1 PE=2 SV=1;2306.66;2659.51
RS16_HUMAN;4 (4);135.49;0.67;1.46;123;40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2;1.24e+004;8467.06
SRBS2_HUMAN;6 (6);177.04;0.67;1.15;123;Sorbin and SH3 domain-containing protein 2 OS=Homo sapiens GN=SORBS2 PE=1 SV=3;4.95e+004;5.71e+004
DCXR_HUMAN;1 (1);50.36;0.67;1.14;123;L-xylulose reductase OS=Homo sapiens GN=DCXR PE=1 SV=2;5534.81;6334.41
RL7A_HUMAN;1 (1);44.90;0.67;1.13;123;60S ribosomal protein L7a OS=Homo sapiens GN=RPL7A PE=1 SV=2;1522.13;1720.28
ANXA1_HUMAN;12 (12);721.71;0.67;1.12;123;Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2;2.41e+004;2.15e+004
KCRB_HUMAN;2 (2);113.10;0.67;1.12;123;Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1;1714.45;1919.22
MCA3_HUMAN;4 (4);189.43;0.67;1.11;123;Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1;4920.54;4423.38
K1C10_HUMAN;31 (26);2158.30;0.66;1.91;123;Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6;3.81e+005;1.99e+005
ENPLL_HUMAN;2 (1);73.93;0.66;1.45;123;Putative endoplasmin-like protein OS=Homo sapiens GN=HSP90B2P PE=5 SV=1;2585.69;1789.13
RS28_HUMAN;3 (3);158.68;0.66;1.43;123;40S ribosomal protein S28 OS=Homo sapiens GN=RPS28 PE=1 SV=1;2.96e+004;2.07e+004
PGS2_HUMAN;46 (46);3510.66;0.66;1.16;123;Decorin OS=Homo sapiens GN=DCN PE=1 SV=1;2.53e+006;2.94e+006
TAGL_HUMAN;28 (28);1693.02;0.66;1.14;123;Transgelin OS=Homo sapiens GN=TAGLN PE=1 SV=4;9.07e+005;1.03e+006
CILP1_HUMAN;1 (1);17.36;0.66;1.11;123;Cartilage intermediate layer protein 1 OS=Homo sapiens GN=CILP PE=1 SV=4;587.95;651.18
STAM1_HUMAN;1 (1);40.96;0.66;1.04;123;Signal transducing adapter molecule 1 OS=Homo sapiens GN=STAM PE=1 SV=3;1207.37;1157.87
K1407_HUMAN;1 (1);36.88;0.65;2.80;123;Coiled-coil domain-containing protein KIAA1407 OS=Homo sapiens GN=KIAA1407 PE=2 SV=1;2291.82;817.08
PSB6_HUMAN;2 (2);98.89;0.65;2.07;123;Proteasome subunit beta type-6 OS=Homo sapiens GN=PSMB6 PE=1 SV=4;6.00e+004;2.91e+004
WDR87_HUMAN;1 (1);24.16;0.65;10.47;123;WD repeat-containing protein 87 OS=Homo sapiens GN=WDR87 PE=1 SV=3;267.81;25.58
HEXA_HUMAN;10 (9);586.20;0.65;1.30;123;Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2;1.95e+004;2.54e+004
PA1B2_HUMAN;1 (1);46.45;0.65;1.07;123;Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens GN=PAFAH1B2 PE=1 SV=1;1.44e+004;1.55e+004
UFM1_HUMAN;2 (2);71.24;0.65;1.04;123;Ubiquitin-fold modifier 1 OS=Homo sapiens GN=UFM1 PE=1 SV=1;2.57e+004;2.47e+004
TTC22_HUMAN;1 (1);22.13;0.64;2.17;123;Tetratricopeptide repeat protein 22 OS=Homo sapiens GN=TTC22 PE=2 SV=1;2613.50;5674.62
NLTP_HUMAN;3 (3);166.55;0.64;1.76;123;Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2 PE=1 SV=2;9140.26;5206.38
LSM8_HUMAN;1 (1);16.20;0.64;1.64;123;U6 snRNA-associated Sm-like protein LSm8 OS=Homo sapiens GN=LSM8 PE=1 SV=3;3177.77;1933.18
PNPH_HUMAN;12 (12);445.99;0.64;1.39;123;Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2;2.61e+004;3.64e+004
SC5A1_HUMAN;1 (1);26.96;0.64;1.37;123;Sodium/glucose cotransporter 1 OS=Homo sapiens GN=SLC5A1 PE=1 SV=1;2.10e+004;1.53e+004
ISG15_HUMAN;1 (1);41.72;0.64;1.31;123;Ubiquitin-like protein ISG15 OS=Homo sapiens GN=ISG15 PE=1 SV=5;2604.88;1983.58
ACTN2_HUMAN;20 (1);973.22;0.64;1.28;123;Alpha-actinin-2 OS=Homo sapiens GN=ACTN2 PE=1 SV=1;1825.44;2331.02
ATS7_HUMAN;3 (3);128.99;0.64;1.19;123;A disintegrin and metalloproteinase with thrombospondin motifs 7 OS=Homo sapiens GN=ADAMTS7 PE=1 SV=2;1019.26;1209.11
GGH_HUMAN;6 (6);273.57;0.64;1.18;123;Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2;4357.72;5129.61
DLRB1_HUMAN;3 (3);163.99;0.64;1.10;123;Dynein light chain roadblock-type 1 OS=Homo sapiens GN=DYNLRB1 PE=1 SV=3;6696.05;7357.85
K2C6B_HUMAN;10 (1);513.87;0.63;3.91;123;Keratin, type II cytoskeletal 6B OS=Homo sapiens GN=KRT6B PE=1 SV=5;1051.48;269.05
DPYL2_HUMAN;25 (19);1262.15;0.63;2.07;123;Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1;7.94e+004;3.84e+004
SF3A1_HUMAN;2 (2);56.14;0.63;1.41;123;Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1;4797.64;3399.86
CSN4_HUMAN;1 (1);38.85;0.63;1.23;123;COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=1 SV=1;1486.45;1824.14
CAB45_HUMAN;6 (6);246.51;0.63;1.19;123;45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 PE=1 SV=1;1.62e+004;1.93e+004
NDNF_HUMAN;9 (9);606.79;0.63;1.17;123;Protein NDNF OS=Homo sapiens GN=NDNF PE=2 SV=2;4.45e+004;5.20e+004
CAN2_HUMAN;1 (1);18.31;0.63;1.13;123;Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6;999.48;1125.26
PGFRB_HUMAN;5 (5);206.12;0.63;1.11;123;Platelet-derived growth factor receptor beta OS=Homo sapiens GN=PDGFRB PE=1 SV=1;3871.68;3483.50
ANGT_HUMAN;8 (8);560.50;0.62;1.75;123;Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1;2.80e+004;1.59e+004
LRRK1_HUMAN;3 (1);62.97;0.62;1.28;123;Leucine-rich repeat serine/threonine-protein kinase 1 OS=Homo sapiens GN=LRRK1 PE=1 SV=3;1.80e+005;2.30e+005
PSG8_HUMAN;2 (2);60.00;0.62;1.28;123;Pregnancy-specific beta-1-glycoprotein 8 OS=Homo sapiens GN=PSG8 PE=2 SV=2;1.02e+004;1.30e+004
RL11_HUMAN;2 (2);109.28;0.62;1.20;123;60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2;3417.49;4110.45
PDPR_HUMAN;1 (1);17.15;0.62;1.20;123;Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens GN=PDPR PE=1 SV=2;1.02e+005;1.22e+005
HTRA1_HUMAN;24 (24);1269.73;0.62;1.16;123;Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1;1.66e+005;1.92e+005
NUDT4_HUMAN;1 (1);50.28;0.62;1.16;123;Diphosphoinositol polyphosphate phosphohydrolase 2 OS=Homo sapiens GN=NUDT4 PE=1 SV=2;2913.62;3378.59
LSM3_HUMAN;1 (1);23.01;0.61;4.96;123;U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens GN=LSM3 PE=1 SV=2;2.25e+004;4533.07
ROA3_HUMAN;4 (4);203.92;0.61;1.70;123;Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens GN=HNRNPA3 PE=1 SV=2;4.85e+004;2.85e+004
TCPG_HUMAN;4 (3);186.32;0.61;1.40;123;T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=4;1444.55;2022.84
CAND1_HUMAN;5 (5);178.19;0.61;1.33;123;Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2;8060.57;1.07e+004
FBN2_HUMAN;11 (9);424.48;0.61;1.31;123;Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3;8.61e+004;1.13e+005
CLC11_HUMAN;3 (3);147.53;0.61;1.26;123;C-type lectin domain family 11 member A OS=Homo sapiens GN=CLEC11A PE=1 SV=1;7839.28;9843.32
MANF_HUMAN;5 (5);260.17;0.61;1.25;123;Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3;2.26e+004;2.83e+004
PLSI_HUMAN;2 (1);60.16;0.61;1.20;123;Plastin-1 OS=Homo sapiens GN=PLS1 PE=1 SV=2;5097.76;4245.10
